timestamp,day_of_week,hour,weather,road_name,humidity,rainfall_mm,vehicle_count,jam_level
2025-01-01 00:00:00,Friday,19,Rainy,Airport Road,78,20,6436,High
2025-01-01 01:00:00,Thursday,17,Rainy,Airport Road,91,0,1778,High
2025-01-01 02:00:00,Sunday,9,Foggy,Airport Road,68,20,715,Medium
2025-01-01 03:00:00,Friday,7,Foggy,Airport Road,54,5,4601,High
2025-01-01 04:00:00,Saturday,11,Clear,Airport Road,82,0,1849,Low
2025-01-01 05:00:00,Monday,23,Foggy,Airport Road,47,5,3925,Low
2025-01-01 06:00:00,Saturday,11,Foggy,Airport Road,60,5,6964,Medium
2025-01-01 07:00:00,Tuesday,17,Cloudy,Airport Road,78,0,4288,High
2025-01-01 08:00:00,Tuesday,23,Sunny,Airport Road,58,0,2577,Low
2025-01-01 09:00:00,Wednesday,17,Foggy,Airport Road,62,5,4849,High
2025-01-01 10:00:00,Thursday,22,Rainy,Airport Road,50,5,3605,Medium
2025-01-01 11:00:00,Sunday,3,Rainy,Airport Road,50,5,3575,Medium
2025-01-01 12:00:00,Wednesday,5,Clear,Airport Road,63,0,4629,Medium
2025-01-01 13:00:00,Wednesday,13,Sunny,Airport Road,92,5,1235,Low
2025-01-01 14:00:00,Friday,23,Clear,Airport Road,75,5,4100,Medium
2025-01-01 15:00:00,Thursday,23,Sunny,Airport Road,79,2,474,Low
2025-01-01 16:00:00,Friday,7,Sunny,Airport Road,63,0,5262,High
2025-01-01 17:00:00,Thursday,20,Rainy,Airport Road,42,0,306,Medium
2025-01-01 18:00:00,Wednesday,20,Clear,Airport Road,61,0,4975,Medium
2025-01-01 19:00:00,Thursday,13,Clear,Airport Road,92,2,1419,Low
2025-01-01 20:00:00,Monday,0,Foggy,Airport Road,41,0,1241,Low
2025-01-01 21:00:00,Thursday,5,Rainy,Airport Road,63,20,4727,High
2025-01-01 22:00:00,Monday,15,Sunny,Airport Road,83,5,6409,Medium
2025-01-01 23:00:00,Friday,4,Foggy,Airport Road,69,2,2790,Low
2025-01-02 00:00:00,Thursday,6,Cloudy,Airport Road,77,20,3355,Low
2025-01-02 01:00:00,Friday,23,Rainy,Airport Road,41,5,189,Medium
2025-01-02 02:00:00,Thursday,6,Clear,Airport Road,60,0,5313,Medium
2025-01-02 03:00:00,Thursday,23,Rainy,Airport Road,72,10,4208,High
2025-01-02 04:00:00,Tuesday,10,Clear,Airport Road,51,2,3120,Low
2025-01-02 05:00:00,Saturday,17,Clear,Airport Road,61,0,1957,Medium
2025-01-02 06:00:00,Friday,19,Sunny,Airport Road,83,2,904,Medium
2025-01-02 07:00:00,Tuesday,7,Clear,Airport Road,64,2,1044,Medium
2025-01-02 08:00:00,Tuesday,9,Cloudy,Airport Road,88,0,2889,Medium
2025-01-02 09:00:00,Sunday,22,Sunny,Airport Road,66,0,6053,Medium
2025-01-02 10:00:00,Saturday,1,Cloudy,Airport Road,81,0,3975,Low
2025-01-02 11:00:00,Saturday,3,Foggy,Airport Road,67,5,1710,Low
2025-01-02 12:00:00,Friday,16,Sunny,Airport Road,55,2,3023,Low
2025-01-02 13:00:00,Sunday,10,Sunny,Airport Road,54,5,6155,Medium
2025-01-02 14:00:00,Friday,1,Foggy,Airport Road,86,10,3982,Low
2025-01-02 15:00:00,Wednesday,3,Clear,Airport Road,90,0,3321,Low
2025-01-02 16:00:00,Wednesday,7,Clear,Airport Road,83,5,6903,High
2025-01-02 17:00:00,Monday,11,Cloudy,Airport Road,94,0,5248,Medium
2025-01-02 18:00:00,Saturday,2,Foggy,Airport Road,91,5,4491,Medium
2025-01-02 19:00:00,Friday,20,Cloudy,Airport Road,42,0,5121,Medium
2025-01-02 20:00:00,Sunday,20,Rainy,Airport Road,76,0,4835,High
2025-01-02 21:00:00,Thursday,15,Foggy,Airport Road,90,0,2487,Low
2025-01-02 22:00:00,Wednesday,14,Foggy,Airport Road,46,0,4823,Medium
2025-01-02 23:00:00,Tuesday,9,Cloudy,Airport Road,60,0,6682,High
2025-01-03 00:00:00,Friday,9,Sunny,Airport Road,48,0,5363,High
2025-01-03 01:00:00,Saturday,11,Clear,Airport Road,78,0,1041,Low
2025-01-03 02:00:00,Friday,9,Rainy,Airport Road,57,2,5025,High
2025-01-03 03:00:00,Sunday,16,Sunny,Airport Road,43,5,5966,Medium
2025-01-03 04:00:00,Saturday,6,Clear,Airport Road,64,0,2666,Low
2025-01-03 05:00:00,Tuesday,9,Rainy,Airport Road,53,0,1075,High
2025-01-03 06:00:00,Tuesday,15,Sunny,Airport Road,89,0,1054,Low
2025-01-03 07:00:00,Saturday,2,Foggy,Airport Road,48,0,1362,Low
2025-01-03 08:00:00,Tuesday,8,Sunny,Airport Road,65,2,5147,High
2025-01-03 09:00:00,Tuesday,11,Sunny,Airport Road,92,5,1043,Low
2025-01-03 10:00:00,Wednesday,11,Sunny,Airport Road,41,2,2302,Low
2025-01-03 11:00:00,Friday,14,Clear,Airport Road,59,0,5400,Medium
2025-01-03 12:00:00,Monday,15,Rainy,Airport Road,67,20,6331,High
2025-01-03 13:00:00,Thursday,23,Rainy,Airport Road,86,0,3427,Medium
2025-01-03 14:00:00,Thursday,14,Foggy,Airport Road,46,0,5730,Medium
2025-01-03 15:00:00,Tuesday,17,Clear,Airport Road,83,10,5292,High
2025-01-03 16:00:00,Tuesday,15,Rainy,Airport Road,47,0,4374,High
2025-01-03 17:00:00,Saturday,7,Cloudy,Airport Road,86,20,2359,Medium
2025-01-03 18:00:00,Tuesday,7,Sunny,Airport Road,74,0,1928,Medium
2025-01-03 19:00:00,Monday,23,Cloudy,Airport Road,53,2,1357,Low
2025-01-03 20:00:00,Saturday,4,Cloudy,Airport Road,56,20,564,Low
2025-01-03 21:00:00,Tuesday,9,Sunny,Airport Road,75,5,5970,High
2025-01-03 22:00:00,Tuesday,23,Rainy,Airport Road,89,0,3394,Medium
2025-01-03 23:00:00,Wednesday,1,Sunny,Airport Road,79,5,6874,Medium
2025-01-04 00:00:00,Thursday,9,Clear,Airport Road,43,2,1330,Medium
2025-01-04 01:00:00,Monday,11,Clear,Airport Road,41,0,2754,Low
2025-01-04 02:00:00,Thursday,21,Foggy,Airport Road,45,20,984,Low
2025-01-04 03:00:00,Thursday,18,Clear,Airport Road,93,5,3905,Medium
2025-01-04 04:00:00,Saturday,16,Cloudy,Airport Road,81,5,6609,Medium
